Location,Fighter 1,Fighter 2,Fighter_1_KD,Fighter_2_KD,Fighter_1_STR,Fighter_2_STR,Fighter_1_TD,Fighter_2_TD,Fighter_1_SUB,Fighter_2_SUB,Weight_Class,Method,Round,Time,Event Name,Date,Winner
"Austin, Texas, USA",Arman Tsarukyan,Beneil Dariush,1,0,8,2,0,0,0,0,Lightweight,KO/TKO Punch,1,1:04,UFC Fight Night,2-Dec-23,Arman Tsarukyan
"Austin, Texas, USA",Jalin Turner,Bobby Green,1,0,33,15,0,0,0,0,Lightweight,KO/TKO Punches,1,2:49,UFC Fight Night,2-Dec-23,Jalin Turner
"Austin, Texas, USA",Deiveson Figueiredo,Rob Font,0,0,45,46,4,0,0,0,Bantamweight,U-DEC,3,5:00,UFC Fight Night,2-Dec-23,Deiveson Figueiredo
"Austin, Texas, USA",Sean Brady,Kelvin Gastelum,0,0,14,18,5,0,3,0,Welterweight,SUB Kimura,3,1:43,UFC Fight Night,2-Dec-23,Sean Brady
"Austin, Texas, USA",Joaquim Silva,Clay Guida,0,0,46,43,2,2,2,0,Lightweight,U-DEC,3,5:00,UFC Fight Night,2-Dec-23,Joaquim Silva
"Austin, Texas, USA",Dustin Stoltzfus,Punahele Soriano,1,0,64,31,4,0,1,0,Middleweight,SUB Rear Naked Choke,2,4:10,UFC Fight Night,2-Dec-23,Dustin Stoltzfus
"Austin, Texas, USA",Miesha Tate,Julia Avila,0,0,32,3,4,0,1,0,Women's Bantamweight,SUB Rear Naked Choke,3,1:15,UFC Fight Night,2-Dec-23,Miesha Tate
"Austin, Texas, USA",Cody Brundage,Zach Reese,0,0,9,4,1,0,0,1,Middleweight,KO/TKO Slam,1,1:49,UFC Fight Night,2-Dec-23,Cody Brundage
"Austin, Texas, USA",Drakkar Klose,Joe Solecki,0,0,2,1,0,1,0,0,Lightweight,KO/TKO Slam,1,1:41,UFC Fight Night,2-Dec-23,Drakkar Klose
"Austin, Texas, USA",Rodolfo Bellato,Ihor Potieria,0,1,80,73,1,0,0,0,Light Heavyweight,KO/TKO Punches,2,4:17,UFC Fight Night,2-Dec-23,Rodolfo Bellato
"Austin, Texas, USA",Jared Gooden,Wellington Turman,0,0,53,37,1,1,1,0,Welterweight,SUB Rear Naked Choke,2,1:11,UFC Fight Night,2-Dec-23,Jared Gooden
"Austin, Texas, USA",Veronica Hardy,Jamey-Lyn Horth,0,0,43,43,1,1,0,0,Women's Flyweight,S-DEC,3,5:00,UFC Fight Night,2-Dec-23,Veronica Hardy
"Las Vegas, Nevada, USA",Brendan Allen,Paul Craig,0,0,32,6,2,0,2,1,Middleweight,SUB Rear Naked Choke,3,0:38,UFC Fight Night,18-Nov-23,Brendan Allen
